"Rank","Release_Group","Worldwide_Gross","Domestic_Gross","Domestic_Percent","Foreign_Gross","Foreign_Percent","Year","Genres","Rating","Vote_Count","Original_Language","Production_Countries","Release Date","Description","No_of_Persons_Voted","Directed by","Written by","Duration","hours","minutes","Duration_min","Year_Group","Genre_Simplified","avg_rating","avg_gross","Quadrant"
1,"Mission: Impossible II",546388108,215409889,39.4,330978219,60.6,2000,"Adventure, Action, Thriller",6.126,6741,"en","United States of America","May 24, 2000","Ethan Hunt (Tom Cruise) leads his IMF team to capture and destroy a German-manufactured virus before it falls in the wrong, potentially deadly hands.",771,"John Woo","Bruce Geller, Ronald D. Moore, Brannon Braga, Robert Towne","2 h 3 m",2,3,123,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
2,"Gladiator",460583960,187705427,40.8,272878533,59.2,2000,"Action, Drama, Adventure",8.217,19032,"en","United Kingdom, United States of America","May 5, 2000","Before Maximus (Crowe), the heroic Roman General, can honor the wishes of his dying emperor Marcus Aurelius (Harris) by assuming the emperor's role, the emperor's cruel and corrupt son Commodus (Phoenix) orders the execution of Maximus and his family.  Escaping death, Maximus assumes the life of an anonymous gladiator, fighting his way back to the Roman Colosseum where he seeks revenge and a return to justice for Rome.",1090,"Ridley Scott","David Franzoni, John Logan, William Nicholson","2 h 35 m",2,35,155,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
2,"Gladiator",460583960,187705427,40.8,272878533,59.2,2000,"Action, Drama, Adventure",8.217,19032,"en","United Kingdom, United States of America","May 5, 2000","Before Maximus (Crowe), the heroic Roman General, can honor the wishes of his dying emperor Marcus Aurelius (Harris) by assuming the emperor's role, the emperor's cruel and corrupt son Commodus (Phoenix) orders the execution of Maximus and his family.  Escaping death, Maximus assumes the life of an anonymous gladiator, fighting his way back to the Roman Colosseum where he seeks revenge and a return to justice for Rome.",1090,"Ridley Scott","David Franzoni, John Logan, William Nicholson","2 h 35 m",2,35,155,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
2,"Gladiator",460583960,187705427,40.8,272878533,59.2,2000,"Action, Drama, Adventure",8.217,19032,"en","United Kingdom, United States of America","Mar 6, 1992","Tommy Riley has moved with his dad to Chicago from a 'nice place'. He keeps to himself, goes to school. However, after a street fight he is noticed and quickly falls into the world of illegal underground boxing - where punches can kill.",1090,"Ridley Scott","David Franzoni, John Logan, William Nicholson","2 h 35 m",2,35,155,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
2,"Gladiator",460583960,187705427,40.8,272878533,59.2,2000,"Action, Drama, Adventure",8.217,19032,"en","United Kingdom, United States of America","Mar 6, 1992","Tommy Riley has moved with his dad to Chicago from a 'nice place'. He keeps to himself, goes to school. However, after a street fight he is noticed and quickly falls into the world of illegal underground boxing - where punches can kill.",1090,"Ridley Scott","David Franzoni, John Logan, William Nicholson","2 h 35 m",2,35,155,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
3,"Cast Away",429632142,233632142,54.4,1.96e+08,45.6,2000,"Adventure, Drama",7.663,11403,"en","United States of America","Dec 22, 2000","Hanks stars as Chuck Noland, a FedEx systems engineer whose personal and professional life are ruled by the clock.   His manic existence abruptly ends when, after a plane crash, he becomes isolated on a remote island - cast away into the most desolate environment imaginable.   (Twentieth Century Fox)
",533,"Robert Zemeckis","William Broyles Jr.","2 h 23 m",2,23,143,"2000-2008","Adventure",6.54830329153605,156739315.50209,"High Rating & High Gross"
4,"What Women Want",374111707,182811707,48.9,191300000,51.1,2000,"Comedy, Romance",6.45,3944,"en","United Kingdom, United States of America","Dec 15, 2000","When Nick Marshall (Gibson), an ad executive and male chauvinist has an accident, he finds he has gained the ability to hear what women are thinking. As time passes, this phenomenon starts to change his behavior.",227,"Nancy Meyers","Josh Goldsmith, Cathy Yuspa, Diane Drake","2 h 7 m",2,7,127,"2000-2008","Comedy",6.54830329153605,156739315.50209,"Low Rating & High Gross"
5,"Dinosaur",349822765,137748063,39.4,212074702,60.6,2000,"Animation, Family, Adventure",6.544,2530,"en","United States of America","May 19, 2000","When a meteor shower destroys their home, Aladar and his family follow a herd of dinosaurs heading for the safety of the ""nesting grounds."" Along the way, Aladar befriends other colorful dinosaurs. Together, they must stand strong amidst food and water shortages, the threat of carnotaur attacks, and Aladar's run-ins with the herd's stubborn leader, Kron.",113,"Eric Leighton, 
    
      Ralph Zondag","Thom Enriquez, John Harrison, Robert Nelson Jacobs, Ralph Zondag, Walon Green, Gregory Gunter, Shirley Pierce, Jonathan Roberts, Rhett Reese, Tamara Lusher","1 h 22 m",1,22,82,"2000-2008","Adventure",6.54830329153605,156739315.50209,"Low Rating & High Gross"
6,"How the Grinch Stole Christmas",345842198,260745620,75.4,85096578,24.6,2000,"Family, Comedy, Fantasy",6.8,7591,"en","Germany, United States of America","Nov 17, 2000","Ron Howard directs comedian Jim Carrey in the title role of this live-action adaptation of Dr. Seuss's beloved Christmas tale How the Grinch Stole Christmas.",241,"Ron Howard","Dr. Seuss, Jeffrey Price, Peter S. Seaman","1 h 44 m",1,44,104,"2000-2008","Fantasy",6.54830329153605,156739315.50209,"High Rating & High Gross"
7,"Meet the Parents",330444045,166244045,50.3,164200000,49.7,2000,"Comedy, Romance",6.675,5916,"en","United States of America","Oct 6, 2000","When a young woman (Teri Polo) takes her fiancee (Ben Stiller) home to meet her parents (Robert De Niro, Blythe Danner), everything goes wrong.",481,"Jay Roach","Greg Glienna, Mary Ruth Clarke, Jim Herzfeld, John Hamburg","1 h 48 m",1,48,108,"2000-2008","Comedy",6.54830329153605,156739315.50209,"High Rating & High Gross"
